date,cell,experiment,level_3,time,Length,flow,stage,length_diff,neurite,speed,exclude
171107,12,9,439,9,19.536,2.67652,2,-13.5256,short,0.297391111,TRUE
171110,0,2,557,18,22.4444,0,2.5,-10.62292,short,0,FALSE
171110,0,2,559,9.5,22.94644,3.2054,2.5,-10.12088,short,0.337410526,FALSE
171110,2,2,555,4.5,20.2422,2.81732,2,-3.74836,short,0.626071111,FALSE
171110,4,2,551,9.5,47.89488,-0.33792,2.5,0,long,-0.035570526,FALSE
171110,4,2,553,19,23.4388,0.59708,2.5,-24.45608,short,0.031425263,FALSE
171110,5,2,547,8.5,44.54428,0.44,2.5,0,long,0.051764706,FALSE
171110,5,2,549,9.5,17.42664,3.54728,2.5,-27.11764,short,0.373397895,FALSE
171110,13,2,561,18,40.67228,0,2.5,0,long,0,FALSE
171110,13,2,563,6,16.05384,3.7334,2.5,-24.61844,short,0.622233333,FALSE
171201,0,1,661,9.5,63.17036,4.5936,3,0,long,0.483536842,FALSE
171201,0,1,663,4,16.52376,2.56564,3,-46.6466,short,0.64141,FALSE
171201,1,1,657,5,20.724,5.29848,2,-3.84604,short,1.059696,FALSE
171201,1,1,659,9.5,14.36468,3.44432,2,-10.20536,short,0.36256,FALSE
171201,2,1,653,9.5,13.7038,2.2,2,0,short,0.231578947,FALSE
171201,2,1,655,6,7.49276,0.44,2,-6.21104,short,0.073333333,FALSE
171201,5,1,685,5,35.30032,0.03652,2.5,0,long,0.007304,FALSE
171201,5,1,687,6,12.78816,1.5598,2.5,-22.51216,short,0.259966667,FALSE
171201,6,1,651,3.5,30.31424,3.11124,2,-2.20836,short,0.888925714,FALSE
171201,6,1,681,5,32.5226,2.8468,2,0,short,0.56936,FALSE
171201,6,1,683,4,18.3194,3.39724,2,-14.2032,short,0.84931,FALSE
171201,7,1,649,9.5,34.26544,3.54728,2,0,short,0.373397895,FALSE
171201,9,1,646,7.5,29.68196,2.64,2,0,short,0.352,FALSE
171201,10,1,642,18,48.455,0,2.5,0,long,0,FALSE
171201,10,1,644,9.5,10.1354,7.3238,2.5,-38.3196,short,0.770926316,FALSE
171201,13,1,638,5.5,45.12244,2.56564,2.5,0,long,0.46648,FALSE
171201,13,1,640,6.5,15.78544,8.20116,2.5,-29.337,short,1.261716923,FALSE
171201,0,2,634,9,74.7604,1.58664,3,0,long,0.176293333,FALSE
171201,0,2,636,9.5,15.64596,2.48908,3,-59.11444,short,0.262008421,FALSE
171201,1,2,630,8.5,19.2082,4.15096,2,-13.5344,short,0.488348235,FALSE
171201,1,2,632,4.5,31.19776,3.88432,2,-1.54484,short,0.863182222,FALSE
171201,2,2,627,9.5,7.49276,1.58664,3,-45.749,short,0.167014737,FALSE
171201,3,2,625,18,41.50432,0,2.5,0,long,0,FALSE
171201,4,2,621,4,63.23812,0.98384,3,0,long,0.24596,TRUE
171201,4,2,623,9.5,18.6582,3.54728,3,-44.57992,short,0.373397895,TRUE
171201,6,2,619,9.5,85.98128,1.81412,3,0,long,0.19096,FALSE
171201,7,2,615,6.5,46.05172,5.63464,2.5,0,long,0.866867692,FALSE
171201,7,2,617,7,6.73068,2.24356,2.5,-39.32104,short,0.320508571,FALSE
171201,8,2,611,9.5,40.84608,5.44236,2.5,0,long,0.57288,FALSE
171201,8,2,613,9.5,17.95376,2.81732,2.5,-22.89232,short,0.29656,FALSE
171201,9,2,607,9.5,15.37448,2.84768,2,-2.88948,short,0.299755789,FALSE
171201,9,2,609,9,8.50872,3.9842,2,-9.75524,short,0.442688889,FALSE
171201,11,2,603,9.5,58.2604,7.645,3,0,long,0.804736842,FALSE
171201,11,2,605,2,22.72468,2.2,3,-35.53572,short,1.1,FALSE
171201,12,2,599,18,51.15088,-0.36124,3,0,long,-0.020068889,FALSE
171201,12,2,601,5,15.35424,2.3694,3,-35.79664,short,0.47388,FALSE
171201,13,2,597,3,58.05184,2.24356,3,0,long,0.747853333,FALSE
171201,2,3,593,9.5,21.0804,1.58664,2,-2.45432,short,0.167014737,TRUE
171201,2,3,595,9.5,15.92932,1.86692,2,-7.6054,short,0.196517895,TRUE
171201,3,3,589,9.5,60.97696,3.4364,3,0,long,0.361726316,FALSE
171201,3,3,591,9.5,8.8,2.81732,3,-52.17696,short,0.29656,FALSE
171201,5,3,585,2,40.06156,1.32,2,-1.44628,short,0.66,FALSE
171201,5,3,587,6,30.46824,7.76908,2,-11.0396,short,1.294846667,FALSE
171201,6,3,581,2.5,44.41096,2.783,2.5,0,long,1.1132,FALSE
171201,6,3,583,8,17.33996,4.16768,2.5,-27.071,short,0.52096,FALSE
171201,7,3,577,2.5,36.92348,1.24432,2.5,0,long,0.497728,FALSE
171201,7,3,579,3.5,24.23388,3.35104,2.5,-12.6896,short,0.95744,FALSE
171201,8,3,573,9.5,8.66712,3.11124,2,-13.5102,short,0.327498947,TRUE
171201,8,3,575,9.5,13.35312,2.67652,2,-8.8242,short,0.281738947,TRUE
171201,10,3,569,9.5,48.2834,2.24356,2.5,0,long,0.236164211,FALSE
171201,10,3,571,9.5,12.18052,5.37108,2.5,-36.10288,short,0.565376842,FALSE
171201,11,3,676,1.5,35.12476,-0.40612,2,0,short,-0.270746667,FALSE
171201,11,3,678,5,27.14624,0.55,2,-7.97852,short,0.11,FALSE
171201,12,3,565,4.5,26.1426,2.81732,2.5,-16.37768,short,0.626071111,FALSE
171201,12,3,567,5,42.52028,1.39128,2.5,0,long,0.278256,FALSE
171201,13,3,665,9.5,27.72924,5.79084,2,0,short,0.609562105,TRUE
171201,13,3,667,9.5,15.66048,4.76564,2,-12.06876,short,0.501646316,TRUE
180810,0,1,835,6.5,28.7298,9.37332,2,-2.1538,short,1.442049231,TRUE
180810,0,1,837,9.5,26.41716,0.88,2,-4.46644,short,0.092631579,TRUE
180810,2,1,830,9.5,34.74548,2.2,2.5,0,long,0.231578947,FALSE
180810,2,1,832,4.5,24.61888,5.14052,2.5,-10.1266,short,1.142337778,FALSE
180810,3,1,825,9.5,59.9588,2.24356,3,0,long,0.236164211,TRUE
180810,3,1,827,8,21.16488,5.74728,3,-38.79392,short,0.71841,TRUE
180810,4,1,821,6.5,30.04496,7.92,2.5,0,long,1.218461538,FALSE
180810,4,1,823,9.5,23.53164,6.62728,2.5,-6.51332,short,0.697608421,FALSE
180810,5,1,817,9.5,41.92144,2.2,2,0,short,0.231578947,TRUE
180810,5,1,819,6,37.53992,5.07892,2,-4.38152,short,0.846486667,TRUE
180810,6,1,812,9.5,56.97648,0,2.5,-0.61908,short,0,FALSE
180810,6,1,814,6.5,28.9124,9.12736,2.5,-28.68316,short,1.404209231,FALSE
180810,7,1,807,9.5,41.34108,1.39128,2.5,0,long,0.146450526,FALSE
180810,7,1,809,3.5,25.42364,2.95152,2.5,-15.91744,short,0.843291429,FALSE
180810,8,1,802,2.5,39.18684,9.1388,2.5,-6.15648,short,3.65552,FALSE
180810,8,1,804,7.5,30.0058,4.33356,2.5,-15.33752,short,0.577808,FALSE
180810,9,1,797,9.5,47.59744,5.1766,2.5,0,long,0.544905263,FALSE
180810,9,1,799,9.5,32.15256,5.64564,2.5,-15.44488,short,0.594277895,FALSE
180810,10,1,792,4.5,24.09792,7.60408,2,0,short,1.689795556,TRUE
180810,10,1,794,3,19.90032,6.12436,2,-4.1976,short,2.041453333,TRUE
180810,11,1,787,9.5,55.9746,2.24356,3,0,long,0.236164211,TRUE
180810,11,1,789,9.5,30.83608,3.62824,3,-25.13852,short,0.38192,TRUE
180810,12,1,783,6.5,26.2856,2.64,2,0,short,0.406153846,TRUE
180810,12,1,785,9.5,23.49292,2.24356,2,-2.79268,short,0.236164211,TRUE
180810,13,1,840,8,34.06788,4.4,2.5,0,long,0.55,FALSE
180810,13,1,842,9.5,16.34732,3.9842,2.5,-17.72056,short,0.419389474,FALSE
180814,0,1,773,9.5,49.23556,0,2.5,0,long,0,FALSE
180814,0,1,775,9.5,31.52512,4.6772,2.5,-17.71044,short,0.492336842,FALSE
180814,1,1,768,9.5,39.5274,6.35096,2,-2.45872,short,0.668522105,FALSE
180814,1,1,770,9.5,27.81328,6.66072,2,-14.17284,short,0.701128421,FALSE
180814,2,1,763,9.5,57.0636,1.39128,3,0,long,0.146450526,FALSE
180814,2,1,765,7,24.25368,4.16768,3,-32.80992,short,0.595382857,FALSE
180814,3,1,758,7.5,39.13712,2.95152,2,0,short,0.393536,FALSE
180814,3,1,760,9.5,35.47632,1.58664,2,-3.6608,short,0.167014737,FALSE
180814,4,1,753,9.5,48.45236,0.44,2,0,short,0.046315789,FALSE
180814,4,1,755,6,29.88876,8.82728,2,-18.5636,short,1.471213333,FALSE
180814,5,1,748,9.5,44.50028,8.57032,2,0,short,0.902138947,FALSE
180814,5,1,750,9.5,20.33284,6.29904,2,-24.16744,short,0.663056842,FALSE
