date,neuron,type,neurite,manipulation,Unnamed: 0,time,length,intensity,intensity_distal,intensity_proximal,out_of_frame,frame,kymograph,experiment,length_um,growth_rate,rel_intensity
220502,7,axon,0,between,65,97.5,180.0,8109.306666666666,3578.4375,8442.826086956522,True,65,91,2,59.400000000000006,0.0440000000000206,0.916142450677817
220502,7,dendrite,3,before,24,36.0,291.0,2345.333333333333,508.75,3813.652173913044,True,24,94,2,96.03,9.473903143468002e-15,0.9559547471775548
220502,7,dendrite,3,between,65,97.5,291.0,2118.3869731800764,381.0,4918.869565217391,True,65,94,2,96.03,0.0,0.863451712636691
220502,7,dendrite,4,before,24,36.0,362.0,4600.810240963855,279.125,10497.608695652174,False,24,95,2,119.46,-0.2199999999999894,1.128481317581465
220502,7,dendrite,4,between,64,96.0,374.0,2945.395348837209,6.875,8979.260869565218,True,64,95,2,123.42,0.4180000000000348,0.722443102404024
220502,9,axon,0,before,24,36.0,324.0,8285.748299319728,2051.0625,10088.0,True,24,83,2,106.92,0.0,1.0054769582754572
220502,9,axon,0,between,65,97.5,324.0,7020.044217687075,332.75,12836.91304347826,True,65,83,2,106.92,0.1760000000000256,0.8518835537809814
220502,9,dendrite,6,before,24,36.0,194.0,2783.69512195122,867.375,4542.782608695652,False,24,89,2,64.02,0.1539999999999963,1.0001401135067118
220502,9,dendrite,6,between,65,97.5,218.0,678.6489361702128,3.1875,1069.5652173913045,True,65,89,2,71.94,0.7920000000000064,0.2438284346227984
220502,10,axon,0,before,24,36.0,239.0,7635.0526315789475,3714.75,10676.521739130434,True,24,72,2,78.87,0.0,0.948088020966087
220502,10,axon,0,between,65,97.5,239.0,4718.033492822967,3985.0,9754.130434782608,True,65,72,2,78.87,0.0,0.5858651214218534
220502,10,dendrite,1,before,24,36.0,379.0,4977.21776504298,1766.0,8595.173913043478,True,24,73,2,125.07,0.0,1.0474142050564499
220502,10,dendrite,1,between,65,97.5,379.0,3509.9828080229227,0.0,10570.130434782608,True,65,73,2,125.07,0.0439999999999921,0.738646775402922
220502,10,dendrite,9,before,24,36.0,191.0,3724.012422360248,777.75,5907.869565217391,False,24,81,2,63.03,-0.0660000000000025,1.027358178187145
220502,10,dendrite,9,between,65,97.5,206.0,1614.7897727272727,9.0625,4428.608695652174,True,65,81,2,67.98,0.439999999999993,0.4454785029994302
220502,12,axon,0,before,24,36.0,334.0,6287.6546052631575,3422.0,4759.521739130435,True,24,68,2,110.22,-0.0440000000000016,0.9743388527434464
220502,12,axon,0,between,65,97.5,334.0,6216.736842105263,2896.0625,5654.478260869565,True,65,68,2,110.22,0.0,0.9633493922319618
220502,12,dendrite,1,before,24,36.0,140.0,4280.063636363637,1915.75,5279.04347826087,False,24,69,2,46.2,-0.0879999999999938,1.0246055587835428
220502,12,dendrite,1,between,65,97.5,183.0,1700.111111111111,5.8125,4172.04347826087,True,65,69,2,60.39,1.011999999999991,0.4069900457073749
220502,12,dendrite,2,before,24,36.0,86.0,1964.0357142857144,479.8125,3327.1739130434785,False,24,70,2,28.380000000000003,-0.1540000000000034,0.8396732525801852
220502,12,dendrite,2,between,65,97.5,150.0,241.825,3.8125,961.5217391304348,True,65,70,2,49.5,1.7379999999999949,0.10338609569482828
220502,13,axon,0,before,24,36.0,412.0,3165.7722513089006,1986.4375,8398.434782608696,True,24,64,2,135.96,0.0,1.0493682270920226
220502,13,axon,0,between,64,96.0,412.0,3098.6465968586385,1898.125,7151.695652173913,True,64,64,2,135.96,-5.684341886080803e-14,1.0271178807590733
220502,13,dendrite,1,before,24,36.0,112.0,1094.6829268292684,323.25,1783.8695652173913,False,24,65,2,36.96,0.0220000000000008,0.8544966878476786
220502,13,dendrite,1,between,64,96.0,120.0,569.3666666666667,3.0625,1065.0,True,64,65,2,39.6,0.3519999999999991,0.4444409599469528
220502,13,dendrite,2,before,24,36.0,99.0,1535.9565217391305,1039.375,1946.0434782608693,False,24,66,2,32.67,0.1099999999999994,1.0296988149975377
220502,13,dendrite,2,between,64,96.0,146.0,1005.5344827586208,6.3125,1979.0869565217392,True,64,66,2,48.18,0.9459999999999884,0.674106103057758
220509,0,axon,0,before,6,9.0,264.0,2796.508547008547,2295.75,4086.1739130434794,True,6,60,1,87.12,0.0,0.959913335646143
