date,neuron,type,neurite,manipulation,Unnamed: 0,origin,branch,kymograph,time,MT-RFmed,MT-RFstd,MT-RFnb,MT-RFmed_pos,MT-RFstd_pos,MT-RFnb_pos,MT-RFmed_neg,MT-RFstd_neg,MT-RFnb_neg,frame
220502,4,dendrite,1,early,59,0.5,0.5,92,94.5,-0.495,0.1296362432175337,1.0,,,,-0.495,0.1296362432175337,1.0,63.0
220502,4,dendrite,2,before,22,0.5,0.5,93,36.0,-0.0275,,1.0,,,,-0.0275,,1.0,24.0
220502,4,dendrite,2,early,59,0.5,0.5,93,94.5,-0.418,,1.0,,,,-0.418,,1.0,63.0
220502,5,axon,0,before,24,0.5,0.5,87,36.0,0.0176,,1.0,0.0176,,1.0,,,,24.0
220502,5,axon,0,early,60,0.5,0.5,87,96.0,0.0647058823529411,,1.0,0.0647058823529411,,1.0,-0.0231578947368421,,1.0,64.0
220502,5,dendrite,1,before,23,0.5,0.5,88,34.5,-0.2016666666666667,,1.0,,,,-0.2016666666666667,,1.0,23.0
220502,5,dendrite,1,early,49,0.5,0.5,88,79.5,-0.44,,1.0,,,,-0.44,,1.0,53.0
220502,5,dendrite,2,before,22,0.5,0.5,89,33.0,-0.1721739130434782,,1.0,,,,-0.1721739130434782,,1.0,22.0
220502,5,dendrite,2,early,54,0.5,0.5,89,85.5,-0.4216666666666667,,1.0,,,,-0.4216666666666667,,1.0,57.0
220502,6,axon,0,before,23,0.5,0.5,83,34.5,-0.0091666666666666,,1.0,,,,-0.0091666666666666,,1.0,23.0
220502,6,axon,0,early,44,0.5,0.5,83,69.0,0.1257142857142857,,1.0,0.1257142857142857,,1.0,-0.0314285714285714,,1.0,46.0
220502,6,dendrite,1,before,19,0.5,0.5,84,31.5,-0.044,,1.0,,,,-0.044,,1.0,21.0
220502,6,dendrite,1,early,48,0.5,0.5,84,82.5,-0.572,0.0933380951166241,1.0,,,,-0.572,0.0933380951166241,1.0,55.0
220502,6,dendrite,2,before,24,0.5,0.5,85,36.0,0.0,,1.0,,,,,,,24.0
220502,6,dendrite,2,early,59,0.5,0.5,85,88.5,-1.265,0.4277996026178612,1.0,,,,-1.265,0.4277996026178612,1.0,59.0
220502,7,axon,0,before,23,0.5,0.5,79,34.5,-0.0091666666666666,,1.0,,,,-0.0091666666666666,,1.0,23.0
220502,7,axon,0,early,56,0.5,0.5,79,85.5,0.1389473684210526,,1.0,0.1389473684210526,,1.0,-0.0157142857142857,,1.0,57.0
220502,7,dendrite,1,before,22,0.5,0.5,80,34.5,-0.0095652173913043,,1.0,,,,-0.0095652173913043,,1.0,23.0
220502,7,dendrite,1,early,57,0.5,0.5,80,93.0,-0.3457142857142857,,1.0,,,,-0.3457142857142857,,1.0,62.0
220502,7,dendrite,2,before,23,0.5,0.5,81,34.5,0.0,,1.0,,,,,,,23.0
220502,7,dendrite,2,early,63,0.5,0.5,81,96.0,-0.6233333333333334,0.1666751698511147,1.0,,,,-0.6233333333333334,,1.0,64.0
220502,9,axon,0,before,23,0.5,0.5,76,34.5,0.0,,1.0,,,,,,,23.0
220502,9,axon,0,early,61,0.5,0.5,76,93.0,0.0169230769230769,,1.0,0.0169230769230769,,1.0,,,,62.0
220502,9,dendrite,1,before,22,0.5,0.5,77,33.0,-0.0478260869565217,,1.0,,,,-0.0478260869565217,,1.0,22.0
220502,9,dendrite,1,early,56,0.5,0.5,77,88.5,-1.056,,1.0,0.04,,1.0,-1.056,,1.0,59.0
220502,10,axon,0,before,24,0.5,0.5,72,36.0,-0.0176,,1.0,,,,-0.0176,,1.0,24.0
220502,10,axon,0,early,55,0.5,0.5,72,87.0,-0.7975,,1.0,0.0293333333333333,,1.0,-0.7975,,1.0,58.0
220502,10,dendrite,1,before,24,0.5,0.5,73,36.0,0.0,,1.0,,,,,,,24.0
220502,10,dendrite,1,early,58,0.5,0.5,73,91.5,-1.1,,1.0,,,,-1.1,,1.0,61.0
220502,10,dendrite,2,before,24,0.5,0.5,74,36.0,-0.0704,,1.0,,,,-0.0704,,1.0,24.0
220502,10,dendrite,2,early,55,0.5,0.5,74,87.0,-1.1,0.2411234123846127,1.0,,,,-1.1,0.2411234123846127,1.0,58.0
220502,12,axon,0,before,24,0.5,0.5,68,36.0,0.0,,1.0,,,,,,,24.0
220502,12,axon,0,early,64,0.5,0.5,68,99.0,0.0165,,1.0,0.0165,,1.0,,,,66.0
220502,12,dendrite,1,before,24,0.5,0.5,69,36.0,0.0,,1.0,,,,,,,24.0
220502,12,dendrite,1,early,64,0.5,0.5,69,97.5,-0.4714285714285714,,1.0,,,,-0.4714285714285714,,1.0,65.0
220502,12,dendrite,2,before,23,0.5,0.5,70,36.0,-0.0458333333333333,,1.0,,,,-0.0458333333333333,,1.0,24.0
220502,12,dendrite,2,early,61,0.5,0.5,70,99.0,-0.2383333333333333,,1.0,,,,-0.2383333333333333,,1.0,66.0
220502,13,axon,0,before,23,0.5,0.5,64,36.0,-0.0052380952380952,,1.0,,,,-0.0052380952380952,,1.0,24.0
220502,13,axon,0,early,64,0.5,0.5,64,97.5,-0.0052380952380952,,1.0,,,,-0.0052380952380952,,1.0,65.0
220502,13,dendrite,1,before,20,0.5,0.5,65,33.0,-0.1466666666666666,,1.0,,,,-0.1466666666666666,,1.0,22.0
220502,13,dendrite,1,early,45,0.5,0.5,65,73.5,-0.3256,,1.0,,,,-0.3256,,1.0,49.0
220502,13,dendrite,2,before,24,0.5,0.5,66,36.0,-0.1344444444444444,,1.0,,,,-0.1344444444444444,,1.0,24.0
220502,13,dendrite,2,early,62,0.5,0.5,66,97.5,-0.2619047619047619,,1.0,,,,-0.2619047619047619,,1.0,65.0
220509,0,axon,0,before,6,0.5,0.5,60,9.0,0.0,,1.0,,,,,,,6.0
220509,0,axon,0,early,84,0.5,0.5,60,129.0,-0.0092307692307692,,1.0,,,,-0.0092307692307692,,1.0,86.0
220509,0,axon,0,out_of_bounds,150,0.5,0.5,60,228.0,-0.0092307692307692,,1.0,,,,-0.0092307692307692,,1.0,152.0
220509,0,dendrite,1,before,4,0.5,0.5,61,9.0,0.0,,1.0,,,,,,,6.0
220509,0,dendrite,1,early,40,0.5,0.5,61,63.0,-0.0565714285714285,,1.0,,,,-0.0565714285714285,,1.0,42.0
220509,0,dendrite,2,before,6,0.5,0.5,62,9.0,-0.0977777777777777,,1.0,,,,-0.0977777777777777,,1.0,6.0
220509,0,dendrite,2,early,85,0.5,0.5,62,129.0,-0.0636363636363636,,1.0,,,,-0.0636363636363636,,1.0,86.0
220509,0,dendrite,2,out_of_bounds,129,0.5,0.5,62,195.0,-0.0636363636363636,,1.0,,,,-0.0636363636363636,,1.0,130.0
220509,1,axon,0,before,5,0.5,0.5,56,9.0,-0.0628571428571428,,1.0,,,,-0.0628571428571428,,1.0,6.0
220509,1,axon,0,early,84,0.5,0.5,56,129.0,-0.0107317073170731,,1.0,,,,-0.0107317073170731,,1.0,86.0
220509,1,axon,0,out_of_bounds,170,0.5,0.5,56,258.0,-0.0107317073170731,,1.0,,,,-0.0107317073170731,,1.0,172.0
220509,1,dendrite,1,before,6,0.5,0.5,57,9.0,-0.0314285714285714,,1.0,,,,-0.0314285714285714,,1.0,6.0
220509,1,dendrite,1,early,84,0.5,0.5,57,129.0,0.0244444444444444,,1.0,0.0244444444444444,,1.0,-0.0488888888888888,,1.0,86.0
220509,1,dendrite,1,out_of_bounds,89,0.5,0.5,57,136.5,0.0244444444444444,,1.0,0.0244444444444444,,1.0,,,,91.0
220509,1,dendrite,2,before,6,0.5,0.5,58,9.0,0.0,,1.0,,,,,,,6.0
220509,1,dendrite,2,early,78,0.5,0.5,58,129.0,-0.0514893617021276,,1.0,,,,-0.0514893617021276,,1.0,86.0
220509,1,dendrite,2,out_of_bounds,101,0.5,0.5,58,163.5,-0.0514893617021276,,1.0,,,,-0.0514893617021276,,1.0,109.0
220509,2,axon,0,before,6,0.5,0.5,52,9.0,0.1257142857142857,,1.0,0.1257142857142857,,1.0,,,,6.0
220509,2,axon,0,early,84,0.5,0.5,52,129.0,-0.0041121495327102,,1.0,,,,-0.0041121495327102,,1.0,86.0
220509,2,axon,0,out_of_bounds,113,0.5,0.5,52,172.5,-0.0041121495327102,,1.0,,,,-0.0041121495327102,,1.0,115.0
220509,2,dendrite,1,before,6,0.5,0.5,53,9.0,-0.11,,1.0,,,,-0.11,,1.0,6.0
220509,2,dendrite,1,early,85,0.5,0.5,53,129.0,-0.0212048192771084,,1.0,,,,-0.0212048192771084,,1.0,86.0
220509,2,dendrite,1,out_of_bounds,90,0.5,0.5,53,136.5,-0.0212048192771084,,1.0,,,,-0.0212048192771084,,1.0,91.0
220509,2,dendrite,2,before,6,0.5,0.5,54,9.0,-0.055,,1.0,,,,-0.055,,1.0,6.0
