,date,neuron,Unnamed: 0,kymograph,frame,time,MT-RFmed,MT-RFstd,MT-RFnb,MT-RFmed_pos,MT-RFstd_pos,MT-RFnb_pos,MT-RFmed_neg,MT-RFstd_neg,MT-RFnb_neg,neurite,manipulation,condition
107,220429.0,1.0,36,391,25.0,37.5,-0.3568888888888889,0.0553114637728144,2.0,,,,-0.3568888888888889,0.0553114637728144,2.0,2,before,wt
108,220429.0,1.0,56,391,49.0,73.5,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
109,220429.0,1.0,57,391,50.0,75.0,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
110,220429.0,1.0,58,391,51.0,76.5,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
111,220429.0,1.0,59,391,52.0,78.0,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
112,220429.0,1.0,60,391,53.0,79.5,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
113,220429.0,1.0,61,391,54.0,81.0,-0.1527777777777778,,1.0,,,,-0.1527777777777778,,1.0,2,before,wt
114,220429.0,1.0,55,391,48.0,72.0,-0.0947222222222222,0.0821029540377713,2.0,,,,-0.0947222222222222,0.0821029540377713,2.0,2,before,wt
115,220429.0,1.0,62,391,55.0,82.5,-0.1527777777777778,,1.0,,,,-0.1527777777777778,,1.0,2,before,wt
116,220429.0,1.0,64,391,57.0,85.5,-0.1527777777777778,,1.0,,,,-0.1527777777777778,,1.0,2,before,wt
117,220429.0,1.0,65,391,69.0,103.5,0.4155555555555555,,1.0,0.4155555555555555,,1.0,,,,2,early,wt
118,220429.0,1.0,66,391,70.0,105.0,0.4155555555555555,,1.0,0.4155555555555555,,1.0,,,,2,early,wt
119,220429.0,1.0,67,391,71.0,106.5,0.4155555555555555,,1.0,0.4155555555555555,,1.0,,,,2,early,wt
