date,experiment,cell,kymograph,Unnamed: 0, ,Label,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,Angle,%Area,Slice,MinThr,MaxThr,Length,MTRF,length_difference
171201,2,cell0001,30,61,62,171201_TUBB2amEos_02_baseline_cell0001_Hyperstack_MTRF_kymograph-30.tif,8,314.625,24.471,287,348,16,1,4,5,-125.38,0,1,0,65535,6.51,-0.7040000000000001,4
171201,2,cell0009,27,1,2,171201_TUBB2amEos_02_baseline_cell0009_Hyperstack_MTRF_kymograph-27.tif,17,342.588,36.851,289,402,7,3,8,14,-120.194,0,1,0,65535,16.21,-0.5028571428571428,-2
171201,2,cell0009,28,5,6,171201_TUBB2amEos_02_baseline_cell0009_Hyperstack_MTRF_kymograph-28.tif,9,286.667,13.134,268,311,14,2,6,6,-134.331,0,1,0,65535,8.295,-0.88,-10
171201,3,cell0005,25,67,68,171201_TUBB2amEos_03_baseline_cell0005_Hyperstack_MTRF_kymograph-25.tif,17,275.118,19.0,249,303,13,2,11,12,-134.199,0,1,0,65535,16.18,-0.8066666666666666,-1
171201,3,cell0005,24,73,74,171201_TUBB2amEos_03_baseline_cell0005_Hyperstack_MTRF_kymograph-24.tif,6,381.667,42.117,339,438,25,1,2,4,-114.624,0,1,0,65535,4.52,-0.44,13
180427,1,cell0002,16,59,60,180427_TUBB2aMeos_01_baseline_cell0002_Hyperstack_MTRF_kymograph-16.tif,21,504.095,81.204,390,706,14,1,4,19,-102.577,0,1,0,65535,19.645,-0.1852631578947368,4
180427,1,cell0002,15,80,81,180427_TUBB2aMeos_01_baseline_cell0002_Hyperstack_MTRF_kymograph-15.tif,21,634.857,286.218,362,1157,19,1,7,19,-110.391,0,1,0,65535,19.749,-0.3242105263157894,0
180427,1,cell0003,12,55,56,180427_TUBB2aMeos_01_baseline_cell0003_Hyperstack_MTRF_kymograph-12.tif,10,299.5,18.362,278,338,13,1,6,7,-129.864,0,1,0,65535,9.393,-0.7542857142857142,2
180427,1,cell0003,13,84,85,180427_TUBB2aMeos_01_baseline_cell0003_Hyperstack_MTRF_kymograph-13.tif,19,391.211,164.947,268,923,14,1,4,18,-102.604,0,1,0,65535,18.331,-0.1955555555555555,2
180427,1,cell0005,10,51,52,180427_TUBB2aMeos_01_baseline_cell0005_Hyperstack_MTRF_kymograph-10.tif,6,693.0,69.717,597,815,18,1,2,4,-120.816,0,1,0,65535,4.819,-0.44,-11
180427,1,cell0005,9,64,65,180427_TUBB2aMeos_01_baseline_cell0005_Hyperstack_MTRF_kymograph-9.tif,18,520.222,188.559,325,832,11,1,7,15,-115.115,0,1,0,65535,16.543,-0.4106666666666667,4
180427,1,cell0006,7,52,53,180427_TUBB2aMeos_01_baseline_cell0006_Hyperstack_MTRF_kymograph-7.tif,21,434.571,64.088,353,633,11,1,8,19,-111.917,0,1,0,65535,20.372,-0.3705263157894736,1
180427,1,cell0006,6,53,54,180427_TUBB2aMeos_01_baseline_cell0006_Hyperstack_MTRF_kymograph-6.tif,17,397.647,83.697,316,630,15,1,6,15,-111.264,0,1,0,65535,16.081,-0.352,5
180427,1,cell0011,4,54,55,180427_TUBB2aMeos_01_baseline_cell0011_Hyperstack_MTRF_kymograph-4.tif,16,361.938,53.327,298,484,14,1,6,14,-112.426,0,1,0,65535,15.197,-0.3771428571428571,3
180427,1,cell0011,3,78,79,180427_TUBB2aMeos_01_baseline_cell0011_Hyperstack_MTRF_kymograph-3.tif,9,424.222,63.767,380,585,20,1,3,7,-115.665,0,1,0,65535,7.766,-0.3771428571428571,2
180427,1,cell0012,0,76,77,180427_TUBB2aMeos_01_baseline_cell0012_Hyperstack_MTRF_kymograph-0.tif,20,415.3,64.537,326,536,27,1,4,18,-77.829,0,1,0,65535,18.588,0.1955555555555555,0
180427,1,cell0012,1,85,86,180427_TUBB2aMeos_01_baseline_cell0012_Hyperstack_MTRF_kymograph-1.tif,17,462.176,113.856,341,783,30,1,3,15,-101.659,0,1,0,65535,15.638,-0.176,-1
180803,1,cell0012,24,90,91,180803_TUBB2ameos_01_baseline2x_cell0012_Hyperstack_MTRF_kymograph-24.tif,20,668.75,157.091,537,1014,14,1,2,19,-95.225,0,1,0,65535,19.302,-0.0926315789473684,1
180803,1,cell0012,25,93,94,180803_TUBB2ameos_01_baseline2x_cell0012_Hyperstack_MTRF_kymograph-25.tif,19,767.789,264.042,521,1400,14,1,0,18,-90.623,0,1,0,65535,18.457,-0.0,-4
180807,1,cell0006,19,88,89,180807_TUBB2ameos_01_baseline2x_cell0006_Hyperstack_MTRF_kymograph-19.tif,22,532.864,76.991,423,660,18,1,8,19,-111.509,0,1,0,65535,20.656,-0.3705263157894736,-7
180807,1,cell0006,18,91,92,180807_TUBB2ameos_01_baseline2x_cell0006_Hyperstack_MTRF_kymograph-18.tif,20,943.45,109.541,809,1242,6,1,4,19,-100.938,0,1,0,65535,19.479,-0.1852631578947368,11
180807,1,cell0009,16,86,87,180807_TUBB2ameos_01_baseline2x_cell0009_Hyperstack_MTRF_kymograph-16.tif,23,757.565,145.349,575,1184,2,1,13,18,-126.071,0,1,0,65535,21.885,-0.6355555555555555,0
180807,1,cell0009,15,97,98,180807_TUBB2ameos_01_baseline2x_cell0009_Hyperstack_MTRF_kymograph-15.tif,22,1195.182,447.77,910,2735,12,1,10,19,-117.1,0,1,0,65535,21.374,-0.4631578947368421,7
180814,1,cell0006,7,94,95,180814_TUBB2ameos_01_baseline2x_cell0006_Hyperstack_MTRF_kymograph-7.tif,20,583.8,311.873,364,1495,14,1,13,14,-132.639,0,1,0,65535,19.057,-0.8171428571428572,-3
180814,1,cell0006,6,95,96,180814_TUBB2ameos_01_baseline2x_cell0006_Hyperstack_MTRF_kymograph-6.tif,14,480.714,102.685,364,659,13,1,9,9,-133.464,0,1,0,65535,12.813,-0.88,-10
180814,1,cell0010,4,89,90,180814_TUBB2ameos_01_baseline2x_cell0010_Hyperstack_MTRF_kymograph-4.tif,26,909.615,428.382,367,2133,7,1,16,19,-129.415,0,1,0,65535,24.962,-0.7410526315789473,-7
180814,1,cell0010,3,99,100,180814_TUBB2ameos_01_baseline2x_cell0010_Hyperstack_MTRF_kymograph-3.tif,21,2413.476,1062.054,1445,4659,21,1,7,19,-110.894,0,1,0,65535,20.341,-0.3242105263157894,5
